eGFR,Creatinine,Systolic BP,Diastolic BP,HbA1c,Hemoglobin,Age,Gender,mean_abs_shap
0.08112178248514881,0.060311471424020636,-0.014864391252041757,-0.013711300353666944,0.040686123037183136,-0.009411088773564216,-0.0430912543404939,0.004008293694722197,0.0334007131701052
0.1732407413471684,0.13076393828093638,-0.01094926379883272,-0.01216308156447488,-0.011726773793912786,0.02966233652594728,-0.0009274362645755946,0.007058510887856204,0.04706151030796303
0.0712669967656514,0.05798090630801088,-0.017439732785253795,-0.015299612620785854,-0.010457993892060837,0.023239045553622096,-0.024256057244115472,0.005179154277627408,0.02813993743089097
0.10951139061976702,-0.035792318531102256,0.013509049988818926,0.034891251550627805,-0.002536338280398958,-0.016198249070388127,0.0638441208488421,0.018800552123148143,0.03688540887663667
0.10917518899962739,-0.11014459292518217,-0.012800943892032329,-0.0116378031875817,-0.007187777202815915,0.008460561760205224,-0.021413882134961346,0.006477395438808801,0.03591226819265186
0.1282254087248548,0.07138757228470446,-0.014141122651814615,-0.013659929012042013,-0.007424851976708756,0.011060605040815234,0.052193082105614005,0.009022769680197775,0.03838941768459396
0.09452817527930409,0.09000106910326346,-0.014440750768116501,-0.013480838090572858,0.00539935310644751,0.02193633946181066,0.04309649792154115,-0.007336651415885567,0.036277459393367725
0.1328809466904824,0.09002805928507411,-0.011581053976439187,-0.011186362255608432,0.04379512693469272,0.014667588838420134,0.043312830281703685,-0.007073217627476239,0.04431564823623711
-0.251574587884417,-0.11830332806588653,-0.00974194957838801,-0.010561397203693397,-0.006000120877237713,0.013603034365505829,0.0350701215056319,-0.01004867792375051,0.056862902175563855
-0.24904404599494642,-0.11942844270017729,-0.008659904644694804,-0.009885311246033184,-0.0013165697152734584,-0.012690510259780548,0.023231222727902966,-0.012510374541011001,0.05459579772872746
0.04905220133681998,0.06838951668857401,-0.015927077048810096,-0.015246129024400965,-0.0029461583049332006,0.03676387198526503,0.031079637901867845,-0.008061662711084742,0.028433281875219485
0.0625437876613976,0.08342051647737347,-0.011995624314213187,-0.011882701714353986,0.06533125818361367,0.0003064291887454959,0.051483866552654245,-0.006982968387337384,0.03674339405996113
-0.2467515864600631,-0.09821426662749631,-0.007417808274046098,-0.008586040646270617,-0.0014284775699321436,-0.011995022316765799,-0.06622493245641693,0.009106600402327497,0.05621559184416481
-0.19714541672942482,-0.09835032157591171,-0.011359938587329473,-0.012720869671645442,-0.008509744143468594,-0.01845349029083414,0.0032151388185284614,0.007763783863682047,0.04468983796010309
0.12254633169992336,-0.031991973119985855,-0.0146644475508036,-0.014916303018328726,-0.005178607790700202,0.02685657716032655,0.06686610977068902,0.021140771881115208,0.03802014024898406
0.1444720152390153,0.11099792023070618,-0.013854526706585955,-0.01329272163156724,0.01226772674490925,0.028524986560659594,0.02131832995460806,0.005096470007737088,0.043728087134473584
