epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7606516480445862,0.8372825980186462,0.0010000000474974513,0.5103194117546082,0.7987581491470337,0.7815937399864197,0.8005430102348328,0.8949633836746216,0.41792288422584534,0.8511137366294861,0.7914243936538696
1,0.806132972240448,0.8977442979812622,0.0010000000474974513,0.4081948697566986,0.8559275269508362,0.7979022860527039,0.835839569568634,0.9228590130805969,0.35985666513442993,0.8900793790817261,0.8150436282157898
2,0.8330384492874146,0.9219580888748169,0.0010000000474974513,0.35580697655677795,0.8892471790313721,0.8113328218460083,0.8523392081260681,0.9387034773826599,0.32364463806152344,0.9062376022338867,0.8288517594337463
3,0.8473758101463318,0.9324705600738525,0.0010000000474974513,0.3317994177341461,0.8928840160369873,0.8353798985481262,0.8515037298202515,0.944938600063324,0.32095175981521606,0.925385594367981,0.8066860437393188
4,0.8570691347122192,0.9411312937736511,0.0010000000474974513,0.3102480173110962,0.9004768133163452,0.8454208374023438,0.8546366095542908,0.9491583704948425,0.30997151136398315,0.925849199295044,0.8121366500854492
5,0.8625608086585999,0.9445975422859192,0.0010000000474974513,0.30088627338409424,0.9045871496200562,0.8513047099113464,0.8521303534507751,0.9495634436607361,0.3273351490497589,0.9367521405220032,0.7965116500854492
6,0.8692687749862671,0.9485481381416321,0.0010000000474974513,0.29090091586112976,0.9061344861984253,0.8624967932701111,0.8690476417541504,0.9546531438827515,0.2896532714366913,0.9258517026901245,0.8393895626068115
7,0.8722541928291321,0.9507938623428345,0.0010000000474974513,0.28381240367889404,0.9071323275566101,0.8671015501022339,0.8684210777282715,0.9562498331069946,0.28734090924263,0.9281678795814514,0.8357558250427246
8,0.8731387257575989,0.9524268507957458,0.0010000000474974513,0.2794123888015747,0.9093594551086426,0.866206169128418,0.8694653511047363,0.9575883746147156,0.27827003598213196,0.9248901605606079,0.8412063717842102
9,0.8741338849067688,0.953815758228302,0.0010000000474974513,0.27498263120651245,0.90875643491745,0.8688283562660217,0.8615288138389587,0.9583443403244019,0.2945158779621124,0.9435244202613831,0.8074128031730652
10,0.8779301047325134,0.9567751288414001,0.0010000000474974513,0.26610586047172546,0.9137791991233826,0.8702992796897888,0.8640350699424744,0.9580518007278442,0.2867601215839386,0.9386221170425415,0.8168604373931885
11,0.8799940943717957,0.9577474594116211,0.0010000000474974513,0.2639305889606476,0.9138807058334351,0.8741366267204285,0.8736424446105957,0.9618201851844788,0.2735077440738678,0.937627375125885,0.8357558250427246
12,0.8855226039886475,0.960411548614502,0.0010000000474974513,0.25589993596076965,0.916002631187439,0.8822588920593262,0.8859649300575256,0.9666213989257812,0.24999459087848663,0.933228611946106,0.8633720874786377
13,0.8921200037002563,0.9635719656944275,0.0010000000474974513,0.24618428945541382,0.9198546409606934,0.8903811573982239,0.889933168888092,0.9680167436599731,0.25680458545684814,0.9520519971847534,0.8513808250427246
14,0.8934099674224854,0.9642617702484131,0.0010000000474974513,0.24392837285995483,0.9220426678657532,0.8903172016143799,0.8941102623939514,0.971041738986969,0.23669859766960144,0.9456133246421814,0.8655523061752319
15,0.8973168134689331,0.9665853381156921,0.0010000000474974513,0.23650677502155304,0.925383985042572,0.8938986659049988,0.896616518497467,0.9720442891120911,0.2370765060186386,0.947284996509552,0.8684592843055725
16,0.8980539441108704,0.9679698348045349,0.0010000000474974513,0.231655091047287,0.9248085618019104,0.8959452509880066,0.8941102623939514,0.97285395860672,0.22966565191745758,0.9477463364601135,0.8633720874786377
17,0.9010393619537354,0.9696812033653259,0.0010000000474974513,0.2258272022008896,0.9290399551391602,0.8967766761779785,0.9072681665420532,0.9761990308761597,0.20881488919258118,0.9428242444992065,0.8928052186965942
18,0.9023662209510803,0.9703891277313232,0.0010000000474974513,0.22317560017108917,0.9278513789176941,0.9006139636039734,0.8991228342056274,0.9740241765975952,0.2224055826663971,0.9436839818954468,0.8768168687820435
19,0.9047987461090088,0.9709994792938232,0.0010000000474974513,0.2207106053829193,0.9315611720085144,0.9009976983070374,0.9116541147232056,0.9785981178283691,0.19875496625900269,0.947024941444397,0.8964389562606812
20,0.9075261950492859,0.9726201891899109,0.0010000000474974513,0.2145625203847885,0.9345250129699707,0.9027884602546692,0.9032999277114868,0.9761989116668701,0.20824722945690155,0.9430894255638123,0.8851743936538696
21,0.9057939052581787,0.9728302359580994,0.0010000000474974513,0.21380440890789032,0.9315122961997986,0.9029163718223572,0.9097744226455688,0.9785776734352112,0.20404304563999176,0.9545454382896423,0.8851743936538696
22,0.9098849892616272,0.973933756351471,0.0010000000474974513,0.20958158373832703,0.9346293210983276,0.907073438167572,0.9114452600479126,0.9786987900733948,0.2025332748889923,0.9532710313796997,0.8895348906517029
23,0.909516453742981,0.9741677641868591,0.0010000000474974513,0.20828628540039062,0.9353325963020325,0.9056024551391602,0.9091478586196899,0.9803674221038818,0.2002808302640915,0.95881187915802,0.879723846912384
24,0.9111012816429138,0.9752880334854126,0.0010000000474974513,0.2044338881969452,0.9360902309417725,0.907712996006012,0.9047619104385376,0.9782737493515015,0.21113789081573486,0.9588329195976257,0.8717296719551086
25,0.9119489789009094,0.9755645394325256,0.0010000000474974513,0.20281335711479187,0.9365320205688477,0.9088001847267151,0.9168755412101746,0.9794296026229858,0.19163164496421814,0.9482101798057556,0.9047965407371521
26,0.9138655662536621,0.9764746427536011,0.0010000000474974513,0.19905398786067963,0.9383611083030701,0.910335123538971,0.9129072427749634,0.9808992147445679,0.2001691311597824,0.9609159231185913,0.8844476938247681
