epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7152071595191956,0.7932156920433044,0.0010000000474974513,0.5528947710990906,0.7735353112220764,0.7152084708213806,0.7733917832374573,0.8581522107124329,0.46322551369667053,0.8001440167427063,0.8074128031730652
1,0.7777532339096069,0.8604567646980286,0.0010000000474974513,0.4678659737110138,0.8256712555885315,0.7787797451019287,0.7894737124443054,0.8922944068908691,0.4318019151687622,0.7968005537986755,0.8506540656089783
2,0.8195857405662537,0.908639669418335,0.0010000000474974513,0.3832700848579407,0.8810757398605347,0.794128954410553,0.8381370306015015,0.9315207004547119,0.33396029472351074,0.8936678767204285,0.8154069781303406
3,0.8385301232337952,0.9246100783348083,0.0010000000474974513,0.3494218587875366,0.8882908821105957,0.8233563303947449,0.848162055015564,0.9402198791503906,0.32158517837524414,0.9130966663360596,0.8132267594337463
4,0.8499189019203186,0.9342457056045532,0.0010000000474974513,0.32689717411994934,0.8986486196517944,0.8335891366004944,0.8464912176132202,0.944110095500946,0.3310573399066925,0.9286018013954163,0.7939680218696594
5,0.856700599193573,0.9390391707420349,0.0010000000474974513,0.31478747725486755,0.8999183177947998,0.8453568816184998,0.859857976436615,0.9465689063072205,0.30424070358276367,0.9160335659980774,0.8324854373931885
6,0.8619710803031921,0.9434661269187927,0.0010000000474974513,0.3025365173816681,0.9055317044258118,0.8490662574768066,0.852756917476654,0.9505085349082947,0.294780969619751,0.9305847883224487,0.8037790656089783
7,0.8657673597335815,0.9473589658737183,0.0010000000474974513,0.29147717356681824,0.9096871018409729,0.8516244292259216,0.8657059073448181,0.9497187733650208,0.2855522036552429,0.9017142653465271,0.8601017594337463
8,0.8664307594299316,0.9480272531509399,0.0010000000474974513,0.28985756635665894,0.9087382555007935,0.8539907932281494,0.8742690086364746,0.9577696919441223,0.2713554799556732,0.9245655536651611,0.8506540656089783
9,0.8691582083702087,0.9495304822921753,0.0010000000474974513,0.2858390808105469,0.9108089804649353,0.8568687438964844,0.8700919151306152,0.9581190347671509,0.2662847936153412,0.9332790970802307,0.8335756063461304
10,0.8718118667602539,0.952171802520752,0.0010000000474974513,0.27791351079940796,0.9087547063827515,0.8643515110015869,0.8794903755187988,0.9630268812179565,0.24430716037750244,0.9108424782752991,0.8760901093482971
11,0.8775984048843384,0.9547971487045288,0.0010000000474974513,0.2702976167201996,0.9110755324363708,0.8727935552597046,0.8857560753822327,0.964131772518158,0.24749134480953217,0.9251831769943237,0.8717296719551086
12,0.8788515329360962,0.9568585157394409,0.0010000000474974513,0.26400837302207947,0.9155393838882446,0.8700435161590576,0.8865914940834045,0.9629137516021729,0.24939699470996857,0.9156944155693054,0.8840842843055725
13,0.8840115070343018,0.9604535102844238,0.0010000000474974513,0.2532404065132141,0.9174968004226685,0.8776541352272034,0.8840852379798889,0.9688694477081299,0.24769723415374756,0.9503895044326782,0.8422965407371521
14,0.8902034759521484,0.9639095067977905,0.0010000000474974513,0.24278560280799866,0.9240201115608215,0.8820030689239502,0.9024645090103149,0.9749754071235657,0.21242544054985046,0.9553607106208801,0.8710029125213623
15,0.8978696465492249,0.9668241739273071,0.0010000000474974513,0.23274821043014526,0.9298937320709229,0.8898695111274719,0.8882623314857483,0.9688831567764282,0.2496853917837143,0.95152747631073,0.8488371968269348
16,0.9010025262832642,0.9695030450820923,0.0010000000474974513,0.2227742224931717,0.9276185631752014,0.8983116149902344,0.9110275506973267,0.9797199964523315,0.19412122666835785,0.9585962295532227,0.883357584476471
17,0.9070470333099365,0.9715466499328613,0.0010000000474974513,0.21623142063617706,0.9327481389045715,0.9038756489753723,0.9197995066642761,0.979246199131012,0.1902456134557724,0.9444444179534912,0.9142441749572754
18,0.9067153334617615,0.972297191619873,0.0010000000474974513,0.21270780265331268,0.9321944713592529,0.9038756489753723,0.9223057627677917,0.9800729155540466,0.19380603730678558,0.9569892287254333,0.9055232405662537
19,0.9090004563331604,0.9737629890441895,0.0010000000474974513,0.20697355270385742,0.9350426197052002,0.9049628973007202,0.9112364053726196,0.9767630100250244,0.20283468067646027,0.9456146955490112,0.8971657156944275
20,0.908889889717102,0.9745665192604065,0.0010000000474974513,0.20398874580860138,0.936587929725647,0.9030442833900452,0.9181286692619324,0.9820041060447693,0.18160566687583923,0.9616588354110718,0.8931686282157898
21,0.9105115532875061,0.9749067425727844,0.0010000000474974513,0.20213527977466583,0.9389789700508118,0.9034279584884644,0.9156224131584167,0.9790499806404114,0.18855008482933044,0.9498084187507629,0.9007993936538696
22,0.9109169840812683,0.9758982062339783,0.0010000000474974513,0.19798335433006287,0.9368184804916382,0.9065617918968201,0.9287802577018738,0.983911395072937,0.16660931706428528,0.9568018317222595,0.9175145626068115
23,0.9148975610733032,0.977197527885437,0.0010000000474974513,0.19294561445713043,0.9418473839759827,0.9084164500236511,0.9250208735466003,0.9820753931999207,0.17121855914592743,0.9482952356338501,0.9196947813034058
24,0.9168878197669983,0.9780058860778809,0.0010000000474974513,0.1895190328359604,0.9440498948097229,0.909695565700531,0.92710942029953,0.9828936457633972,0.16920937597751617,0.940917432308197,0.9316860437393188
25,0.9167772531509399,0.9779021143913269,0.0010000000474974513,0.18993130326271057,0.9399499893188477,0.9139805436134338,0.9310777187347412,0.9857051968574524,0.16028597950935364,0.9661278128623962,0.9120639562606812
26,0.9185094833374023,0.9786911010742188,0.0010000000474974513,0.18678885698318481,0.944095253944397,0.9126375317573547,0.9256474375724792,0.9831364154815674,0.17229783535003662,0.9590038061141968,0.9095203280448914
27,0.9207577705383301,0.9800441265106201,0.0010000000474974513,0.18050038814544678,0.9439689517021179,0.9169225096702576,0.9195906519889832,0.9817360639572144,0.17577773332595825,0.9484653472900391,0.9095203280448914
28,0.9211632013320923,0.9803234338760376,0.0010000000474974513,0.1792774498462677,0.9453573822975159,0.9161550402641296,0.9369256496429443,0.9873526692390442,0.1426956206560135,0.9510309100151062,0.9385901093482971
29,0.9224531650543213,0.9805223941802979,0.0010000000474974513,0.17824342846870422,0.9462472200393677,0.9175620079040527,0.9398496150970459,0.9880933165550232,0.13920697569847107,0.9552845358848572,0.9393168687820435
30,0.9236694574356079,0.9808565974235535,0.0010000000474974513,0.17639687657356262,0.946952223777771,0.9190329909324646,0.9348371028900146,0.9878232479095459,0.1436944156885147,0.9569288492202759,0.9284157156944275
31,0.9242960214614868,0.9816373586654663,0.0010000000474974513,0.17308762669563293,0.9442046284675598,0.9231900572776794,0.9308688640594482,0.9864850640296936,0.155035600066185,0.956964910030365,0.9211482405662537
32,0.9245171546936035,0.9820986986160278,0.0010000000474974513,0.1705467849969864,0.9490416646003723,0.9183294773101807,0.939223051071167,0.9887149930000305,0.13782505691051483,0.9599999785423279,0.9331395626068115
33,0.9242960214614868,0.9819570779800415,0.0010000000474974513,0.1714421659708023,0.9489620327949524,0.9180096983909607,0.93943190574646,0.9868478178977966,0.14573784172534943,0.9447254538536072,0.9502180218696594
34,0.9283871650695801,0.9829356074333191,0.0010000000474974513,0.16691352427005768,0.9480400681495667,0.9265157580375671,0.9298245906829834,0.9843051433563232,0.16005179286003113,0.9415204524993896,0.9360465407371521
