model,accuracy,precision,recall,f1,auc_roc,avg_prec
BiLSTM,0.9806,0.982,0.9843,0.9831,0.9983,0.9988
BiLSTM+TII,0.9614,0.9679,0.9649,0.9664,0.9932,0.9949
