epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6963364481925964,0.7703994512557983,0.0010000000474974513,0.5815612077713013,0.7470442652702332,0.7152724266052246,0.7454051971435547,0.8320890665054321,0.5001643896102905,0.7502448558807373,0.8350290656089783
1,0.7654430270195007,0.8486908078193665,0.0010000000474974513,0.4875563979148865,0.8099759221076965,0.7747505903244019,0.7903091311454773,0.8808708190917969,0.433479368686676,0.8300604224205017,0.7986918687820435
2,0.7888102531433105,0.8743701577186584,0.0010000000474974513,0.44663432240486145,0.8362525701522827,0.7877973914146423,0.7886382341384888,0.8888430595397949,0.4287257790565491,0.8556827306747437,0.7605378031730652
3,0.7979507446289062,0.8864036202430725,0.0010000000474974513,0.4251079559326172,0.841885507106781,0.7995650768280029,0.7994987368583679,0.8985013961791992,0.4216180741786957,0.865118145942688,0.7714389562606812
4,0.8047324419021606,0.8909373879432678,0.0010000000474974513,0.41655871272087097,0.8478465676307678,0.8057687282562256,0.7946950793266296,0.9014655947685242,0.42552196979522705,0.8833983540534973,0.7405523061752319
5,0.806501567363739,0.8937321305274963,0.0010000000474974513,0.411003053188324,0.8516862988471985,0.8042977452278137,0.8059732913970947,0.9068481922149658,0.40380969643592834,0.8844369649887085,0.7619912624359131
6,0.8068701028823853,0.895411491394043,0.0010000000474974513,0.4072745442390442,0.8531729578971863,0.8030826449394226,0.8059732913970947,0.9070565700531006,0.39956942200660706,0.8755665421485901,0.7721657156944275
7,0.8087129592895508,0.898051381111145,0.0010000000474974513,0.40189239382743835,0.8562755584716797,0.8028268218040466,0.8155806064605713,0.9091838002204895,0.3865712881088257,0.864043653011322,0.8059592843055725
8,0.8118089437484741,0.9004356861114502,0.0010000000474974513,0.3971192538738251,0.8592875599861145,0.8053210377693176,0.8072264194488525,0.9090347290039062,0.4093470573425293,0.8926578164100647,0.7554506063461304
9,0.8149417638778687,0.9046130776405334,0.0010000000474974513,0.3890194296836853,0.8603924512863159,0.8103734850883484,0.8164160251617432,0.9156461954116821,0.38529419898986816,0.8824009895324707,0.7852470874786377
10,0.8163423538208008,0.9070442318916321,0.0010000000474974513,0.38433656096458435,0.8645541071891785,0.8078792691230774,0.822681725025177,0.9104686379432678,0.3817489743232727,0.8641408085823059,0.8204941749572754
11,0.8222393989562988,0.9110232591629028,0.0010000000474974513,0.3766479790210724,0.8699787855148315,0.8130596280097961,0.8201754093170166,0.9145406484603882,0.39694228768348694,0.8991135358810425,0.773982584476471
